# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "gene" "-g" "gene_id" "-O" "-s" "2" "-J" "-R" "BAM" "-M" "--fraction" "-G" "data/00ref/MG1655.fna" "-T" "16" "-a" "data/00ref/MG1655_LF82_RS00415.gtf" "-o" "results/05counts/read_counts" "results/03map_reads/SRR22989389.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989391.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989390.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989392.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989396.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989394.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989398.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989395.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989399.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989400.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989397.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989393.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/03map_reads/SRR22989389.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989391.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989390.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989392.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989396.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989394.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989398.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989395.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989399.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989400.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989397.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989393.Aligned.sortedByCoord.out.bam
b3757	NC_000913.3	3943435	3943510	+	76	298119.27	274156.07	160013.12	329729.80	264410.65	299430.49	268467.76	313805.87	235107.34	329820.40	334730.28	601797.73
b3758	NC_000913.3	3943704	3946607	+	2904	9689.47	6096.05	8293.95	9055.54	10257.12	8857.84	12504.27	9901.66	10314.17	12504.72	14216.47	13380.86
b3759	NC_000913.3	3946700	3946819	+	120	157.09	81.01	93.97	145.13	151.86	143.66	141.38	135.47	153.93	144.82	170.09	194.68
b3760	NC_000913.3	3946872	3946948	+	77	365951.00	133911.68	231919.89	206275.79	187608.83	387503.53	207756.07	205800.66	217033.28	205525.29	276405.14	261791.37
b3761	NC_000913.3	3946957	3947032	+	76	161285.09	69093.17	91173.44	50582.88	48146.72	51148.10	34731.42	52204.74	33256.19	35455.64	89267.76	49332.00
b4480	NC_000913.3	3947128	3947967	-	840	80.62	37.06	48.43	78.45	75.31	106.18	78.71	84.57	95.93	96.67	92.04	139.90
b3764	NC_000913.3	3948086	3948424	+	339	1123.67	365.97	923.65	846.58	2261.06	1161.89	3398.85	1835.01	3402.09	3612.45	3834.96	1611.22
b3765	NC_000913.3	3948449	3949969	-	1521	21.41	12.26	15.64	10.77	14.42	12.86	26.10	26.95	32.93	26.44	45.01	17.78
b3766	NC_000913.3	3950322	3950420	+	99	127.33	53	86.83	231.27	213.07	286.11	279.00	222.40	287.75	313.48	250.20	463.88
b4669	NC_000913.3	3950507	3950557	+	51	2.50	6	6.10	6.08	6	14.50	26.07	8	22.25	22.67	12.50	17.67
b4488	NC_000913.3	3950560	3952204	+	1645	79.75	46.19	65.51	137.73	151.98	142.49	352.35	161.51	388.24	422.62	232.91	244.35
b3769	NC_000913.3	3952201	3952464	+	264	8.71	3.10	4.75	18.33	10.97	9.62	41.07	14.64	42.19	32.40	19.05	22
b3770	NC_000913.3	3952484	3953413	+	930	24.87	14.52	36.34	69.54	35.24	86.74	70.91	38.88	106.77	119.61	47.12	116.72
b3771	NC_000913.3	3953478	3955328	+	1851	332.13	162.29	267.97	330.08	353.43	386.62	502.71	382.21	404.90	545.41	489.28	503.25
b3772	NC_000913.3	3955331	3956875	+	1545	85.86	29.58	54.71	104.42	65.09	134.82	105.09	66.68	132.52	142.58	81.89	183.56
b3773	NC_000913.3	3956927	3957820	-	894	45.83	25.77	41.74	61.94	93.73	49.27	110.75	80.87	128.11	119.42	138.21	68.98
b3774	NC_000913.3	3957970	3959445	+	1476	64.08	44.27	46.28	39.76	78.24	31.55	64.45	72.77	87.40	74.86	99.04	49.80
b3775	NC_000913.3	3959532	3959813	-	282	167.00	89.05	134.66	218.96	290.29	276.16	416.56	225.62	440.33	427.86	440.78	326.96
b3777	NC_000913.3	3960012	3960460	-	449	10.62	10.64	11.22	13.64	17.39	13.27	24.78	12.91	10.06	10.26	24.93	30.57
b3778	NC_000913.3	3960677	3962698	+	2022	214.60	105.23	171.17	224.82	393.27	252.22	559.00	393.39	475.74	546.29	514.65	371.45
b3779	NC_000913.3	3962745	3964229	-	1485	644.09	330.66	512.88	1011.71	625.72	1031.24	904.83	585.25	853.85	987.51	913.57	1579.17
b3780	NC_000913.3	3964365	3965630	-	1266	713.12	342.66	568.29	1066.70	695.88	1046.44	1322.84	734.10	1256.23	1239.46	1073.94	1661.79
b3781	NC_000913.3	3965761	3966090	+	330	555.31	297.50	400.95	798.37	602.71	788.81	897.98	624.10	794.07	929.58	879.69	1308.87
b3782	NC_000913.3	3966231	3966332	+	102	311.54	176.52	190.14	334.90	615.61	510.63	1512.04	639.84	1431.22	1413.06	964.62	672.91
b3783	NC_000913.3	3966417	3967676	+	1260	3521.16	1670.11	2891.70	3145.65	3358.89	3217.33	5845.68	3490.35	5526.45	5511.40	5111.30	4233.03
b3784	NC_000913.3	3967916	3969019	+	1104	801.06	382.89	560.41	450.54	757.53	469.93	783.44	832.56	737.02	763.63	1154.53	692.78
b3785	NC_000913.3	3969031	3970077	+	1047	884.12	401.58	508.79	447.73	705.43	401.51	718.66	778.90	742.02	767.87	1126.86	679.61
b3786	NC_000913.3	3970133	3971263	+	1131	781.55	392.75	568.57	378.08	917.39	457.41	848.69	988.41	866.50	873.81	1356.99	554.27
b3787	NC_000913.3	3971260	3972522	+	1263	627.77	291.95	530.20	399.94	788.02	424.17	709.76	795.23	610.93	705.30	1160.35	615.94
b3788	NC_000913.3	3972522	3973589	+	1068	538.97	260.50	406.80	289.16	512.96	327.35	480.22	575.55	442.08	497.01	793.55	439.47
b3789	NC_000913.3	3973608	3974489	+	882	271.49	178.18	244.84	179.76	267.61	208.67	274.45	297.52	231.92	240.28	410.02	325.15
b3790	NC_000913.3	3974467	3975141	+	675	249.54	114.17	199.38	143.52	222.20	125.52	178.48	239.81	216.33	204.43	324.79	182.34
b3791	NC_000913.3	3975146	3976276	+	1131	806.38	362.66	650.83	636.67	654.85	591.63	748.30	704.40	693.44	786.82	1040.52	837.72
b3792	NC_000913.3	3976278	3977528	+	1251	327.43	172.94	259.46	161.19	272.03	184.23	288.73	333.92	205.83	311.91	435.46	244.59
b4481	NC_000913.3	3977525	3978604	+	1080	336.27	164.57	198.64	160.30	240.35	164.95	273.71	257.41	251.94	244.77	398.66	257.49
b3793	NC_000913.3	3978601	3979953	+	1353	195.02	97.46	149.00	152.16	195.01	169.02	217.99	224.27	221.90	195.96	324.27	191.09
b3794	NC_000913.3	3979956	3980696	+	741	270.11	120.68	200.61	186.56	255.11	201.78	236.78	259.28	248.05	261.27	340.60	266.16
b3795	NC_000913.3	3980887	3982272	+	1386	235.74	156.31	161.55	165.36	218.98	167.42	399.79	220.52	403.11	414.38	354.51	305.36
b3796	NC_000913.3	3982375	3982451	+	77	7366.96	2947.22	4180.29	5274.70	5366.37	5546.24	6318.37	6357.79	6144.07	6764.58	9079.69	7700.94
b3797	NC_000913.3	3982509	3982585	+	77	156084.08	53947.32	82832.72	91322.80	92915.32	101979.79	85233.19	88752.52	79957.79	94458.22	128761.77	209620.38
b3798	NC_000913.3	3982606	3982692	+	87	26710.96	14420.11	19197.58	26914.52	24426.86	27823.50	28917.58	30050.08	26416.96	29531.43	41085.41	41323.88
b3799	NC_000913.3	3982735	3982811	+	77	12960.45	6349.38	17855.35	11925.26	12771.14	12550.83	11608.07	13669.46	12128.32	13273.47	14924.05	27659.67
b3800	NC_000913.3	3982958	3984193	+	1236	44.60	14.33	31.64	33.40	278.47	34.30	348.13	251.68	314.79	267.76	290.81	48.61
b3801	NC_000913.3	3984352	3986007	-	1656	18.76	8.71	10.14	22.92	14.90	14.92	32.65	17.22	21.42	21.48	33.88	21.07
b4456	NC_000913.3	3986432	3986603	+	172	1333.13	349.93	879.60	1081.52	1498.92	1794.72	3356.34	1504.23	3205.35	3559.43	2935.62	1727.75
b3802	NC_000913.3	3986686	3987882	-	1197	268.76	116.10	180.74	340.17	272.36	369.27	504.20	270.91	452.85	513.75	422.86	491.38
b3803	NC_000913.3	3987885	3989066	-	1182	171.99	97.19	132.99	243.77	251.08	295.20	408.45	233.10	483.01	464.27	337.86	435.59
b3804	NC_000913.3	3989088	3989828	-	741	77.93	36.82	67.74	166.33	129.50	204.11	272.75	150.58	292.79	303.68	189.43	241.93
b3805	NC_000913.3	3989825	3990766	-	942	124.07	76.94	127.09	290.97	209.67	345.12	511.30	223.74	479.42	488.05	296.78	505.76
b3806	NC_000913.3	3991153	3993699	+	2547	1034.96	558.83	703.57	1233.83	1339.93	1410.09	2051.65	1527.85	2206.27	2128.36	2176.97	1868.07
b3807	NC_000913.3	3993739	3994059	-	321	146.31	92	92.20	58.50	201.50	64.77	107.96	188.81	119.33	124.34	230.12	96.27
b3808	NC_000913.3	3993850	3994335	+	486	17.90	3.42	9.28	23.65	39.08	21.24	59.66	47.22	66.06	50.38	50	29.14
b4558	NC_000913.3	3994522	3994725	+	204	409.82	233.35	352.10	117.42	421.71	153.77	116.60	395.23	142.50	126.67	624.86	164.25
b3809	NC_000913.3	3994762	3995586	+	825	1070.33	531.58	916.39	392.51	1056.56	351.08	359.95	1087.79	873.66	319.09	1587.04	566.16
b3810	NC_000913.3	3995583	3996290	+	708	1197.09	621.99	967.04	277.61	808.53	345.47	280.02	946.42	339.34	344.82	1275.19	505.30
b3811	NC_000913.3	3996287	3997183	+	897	714.21	361.28	476.98	173.33	597.79	190.28	211.96	667.93	214.77	258.66	904.40	307.69
b3812	NC_000913.3	3997183	3997899	+	717	506.98	242.31	402.91	131.25	491.05	143.37	202.99	511.39	195.85	179.17	690.81	214.55
b3813	NC_000913.3	3997983	4000145	+	2163	1960.29	1036.98	1427.49	486.30	1508.55	492.72	803.29	1640.37	731.86	820.36	2219.89	742.47
b4482	NC_000913.3	4000292	4001056	-	765	4.67	3.17	1.75	1	4.20	3	4.30	7.48	7.81	9.23	12.99	3.62
b4799	NC_000913.3	4001218	4001274	+	57	118.90	36	47	157.50	99.33	142	154	109	243	158.25	180	275.40
b3816	NC_000913.3	4001426	4002376	+	951	644.91	298.37	445.30	605.50	649.57	705.71	1029.37	808.83	954.52	1004.31	1207.77	971.03
b3817	NC_000913.3	4002419	4002799	-	381	15.03	13.33	13.54	26.42	20.98	23.00	26.22	16.83	24.07	23.35	30.37	45.23
b3818	NC_000913.3	4002813	4003193	-	381	2	1	2.03	3.25	6	2	6.62	3.50	4	7.50	9	6.77
b3819	NC_000913.3	4003288	4004178	-	891	64.68	24.53	54.55	59.80	63.60	70.50	81.41	65.72	56.71	76.45	111.69	108.74
b3820	NC_000913.3	4004230	4004697	-	468	12.33	11.33	17.17	23	26.98	21.25	28.64	28	26.73	30.75	49.60	43.70
b3821	NC_000913.3	4004862	4005731	+	870	140.97	58.24	144.07	180.21	153.37	203.87	223.09	171.87	197.20	202.83	227.68	290.94
b3822	NC_000913.3	4005864	4007693	+	1830	276.86	168.50	202.94	261.08	338.91	277.39	333.96	366.89	364.27	337.07	504.98	408.31
b3823	NC_000913.3	4007757	4008377	+	621	29.73	27.37	37.24	64.06	55.29	71.81	72.37	54.42	56.58	51.68	73.87	100.86
b3824	NC_000913.3	4008439	4009059	-	621	10.86	2.17	9.53	17.30	8.75	13.86	18.10	14.64	23.72	22.83	17.14	35.57
b3825	NC_000913.3	4009170	4010192	+	1023	132.10	71.27	72.09	134.72	201.52	202.71	283.36	207.69	219.80	264.52	292.26	250.94
b3826	NC_000913.3	4010200	4011000	+	801	105.55	46.59	86.34	105.55	93.30	84.63	158.50	109.61	137.89	134.46	158.32	147.89
b3827	NC_000913.3	4011076	4011975	+	900	56.41	27.58	38.25	39.22	55.30	52.38	67.49	67.83	93.90	74.01	88.54	81.44
b3828	NC_000913.3	4011863	4012816	-	954	67.65	29.42	49.45	36.17	75.53	23.60	21.64	86.47	26.66	42.95	111.20	37.57
b3829	NC_000913.3	4013053	4015314	+	2262	2253.88	1586.84	2037.22	737.95	475.67	631.43	69.09	551.69	57.27	78.56	740.34	1047.84
b3830	NC_000913.3	4015354	4016169	-	816	26.01	14.17	21.22	39.05	25.50	60.53	39.83	31.42	17.52	40.40	48.03	60.49
b3831	NC_000913.3	4016431	4017192	+	762	163.05	78.30	119.19	588.99	231.19	645.54	455.19	249.28	440.97	463.41	407.15	904.40
b3832	NC_000913.3	4017333	4018760	+	1428	70.08	37.38	58.27	125.50	137.75	164.50	179.92	122.97	175.19	216.57	150.63	226.07
b3833	NC_000913.3	4018855	4019610	+	756	316.20	184.53	248.83	336.00	360.29	357.77	487.35	362.12	1024.02	492.89	545.57	540.84
b3834	NC_000913.3	4019624	4020229	+	606	207.20	107.81	164.04	267.89	221.50	260.58	317.62	240.80	307.60	327.97	328.08	358.57
b4707	NC_000913.3	4019978	4020229	+	252	63.25	32.92	46.87	87.82	75.60	87.91	115.48	71.60	85.34	97.65	100.79	121.43
b3835	NC_000913.3	4020226	4021866	+	1641	436.64	211.91	340.67	471.06	465.76	529.42	624.91	525.45	597.27	695.18	678.25	690.02
b3836	NC_000913.3	4021945	4022214	+	270	2860.42	1645.83	3142.98	2807.67	2767.99	3200.37	3307.65	2717.01	2780.96	3642.90	4591.59	3289.78
b3838	NC_000913.3	4022218	4022733	+	516	414.10	221.70	348.05	492.14	424.70	445.82	621.70	478.02	566.57	666.92	644.41	649.15
b3839	NC_000913.3	4022736	4023512	+	777	536.03	234.25	366.13	417.57	685.57	491.99	951.27	619.21	922.06	915.84	1013.92	572.76
b4483	NC_000913.3	4023554	4024336	+	783	35.52	25.62	41.34	52.55	80.59	61.20	150.86	62.44	88.33	143.48	118.61	86.34
b3842	NC_000913.3	4024333	4024821	-	489	104.04	51.06	71.81	69.73	150.52	99.30	213.34	155.02	216.46	191.22	243.99	125.14
b3843	NC_000913.3	4024988	4026481	+	1494	803.90	404.50	604.74	534.18	899.71	575.47	808.86	938.34	786.61	836.48	1318.20	902.80
b3844	NC_000913.3	4026527	4027228	+	702	470.59	228.00	338.02	294.08	535.12	316.06	449.09	489.46	443.43	481.17	737.47	439.02
b3845	NC_000913.3	4027609	4028772	-	1164	19.01	19.03	12.45	19.35	21.80	20.00	19.58	21.10	23.30	18.09	29.85	38.70
b3846	NC_000913.3	4028782	4030971	-	2190	20.37	15.95	16.27	34.54	17.66	40.60	24.42	19.57	26.86	20.49	27.68	59.03
b3847	NC_000913.3	4031161	4032492	+	1332	235.73	124.10	176.94	295.63	214.66	361.59	452.76	236.17	412.65	451.70	349.99	504.39
b3848	NC_000913.3	4032492	4033106	+	615	139.80	97.32	131.05	240.66	109.98	232.78	167.70	129.91	199.85	206.07	182.52	356.58
b3849	NC_000913.3	4033145	4034596	+	1452	228.78	145.74	194.78	164.17	273.03	200.11	338.24	320.49	283.14	315.63	459.43	281.87
b3850	NC_000913.3	4034608	4035153	+	546	120.06	58.75	70.14	86.57	159.61	93.85	165.43	181.69	155.77	162.14	241.43	129.33
b3851	NC_000913.3	4035531	4037072	+	1542	9158.64	4970.66	6593.62	7077.81	8210.57	7472.69	11583.72	7903.20	8523.32	9469.93	12778.51	10667.39
b3852	NC_000913.3	4037141	4037217	+	77	49876.84	27641.44	39651.68	45466.25	41450.20	41948.29	47716.12	44097.57	41359.65	49425.45	65617.70	44175.78
b3853	NC_000913.3	4037260	4037335	+	76	135680.33	59824.00	100338.93	100753.97	83430.04	115303.31	86242.69	102782.75	91175.12	92924.02	116374.25	176404.74
b3854	NC_000913.3	4037519	4040423	+	2905	9416.24	5944.26	8117.59	8907.86	9876.38	8582.93	12140.09	9551.08	10036.04	12142.79	13742.82	13003.88
b3855	NC_000913.3	4040517	4040636	+	120	128.07	80.45	104.75	121.17	136.93	142.48	124.92	110.54	122.06	171.73	164.92	164.49
b3856	NC_000913.3	4040906	4041433	-	528	8.08	9.16	9.18	18.08	23.92	13.77	33.48	18.90	28.01	25.60	33.55	22.13
b3857	NC_000913.3	4041415	4041999	-	585	18.41	7.70	8.25	15.81	27.33	19.50	30.20	23.62	33.33	31.42	33.46	20.32
b3858	NC_000913.3	4042069	4042338	+	270	55.59	38.12	36.56	85.71	140.08	70.30	146.38	136.68	175.86	160.92	204.19	123.03
b3859	NC_000913.3	4042415	4043401	+	987	286.60	126.05	203.53	328.16	382.02	382.95	515.32	383.82	639.56	600.78	596.46	559.25
b3860	NC_000913.3	4043418	4044044	+	627	266.18	162.21	227.49	330.74	432.77	395.28	562.91	470.07	529.37	615.21	620.70	488.67
b3861	NC_000913.3	4044199	4045629	+	1431	23.19	10.27	19.74	29.23	22.74	30.48	30.53	30.54	32.78	29.73	41.29	49.54
b3862	NC_000913.3	4045670	4046602	-	933	58.14	39.82	34.58	69.28	90.13	76.94	145.10	73.23	114.63	140.54	118.72	120.30
b3863	NC_000913.3	4046966	4049752	+	2787	318.02	151.08	245.73	726.66	318.00	861.72	760.95	407.61	849.18	868.74	500.16	1227.77
b3864	NC_000913.3	4049899	4050009	+	111	73031.36	40271.31	74024.13	59024.75	29123.25	68851.09	34979.12	37154.20	37364.40	49492.56	72195.09	124141.43
b3865	NC_000913.3	4050133	4050765	-	633	327.18	185.76	286.47	287.81	264.90	283.63	316.72	298.51	266.95	313.69	409.33	439.21
b4457	NC_000913.3	4051036	4051281	+	246	109.18	46.85	95.38	418.79	367.85	476.60	876.07	358.92	861.08	994.31	501.59	633.02
b3866	NC_000913.3	4051347	4051856	+	510	144.94	110.67	130.21	188.07	241.40	188.30	414.61	254.94	386.07	395.66	398.75	205.35
b3867	NC_000913.3	4052045	4053418	+	1374	293.56	155.31	197.16	216.83	440.10	277.89	530.58	456.28	510.37	524.25	700.67	385.42
b4686	NC_000913.3	4053647	4053757	-	111	37.85	30.06	40	40.92	88	26.92	73.67	84	66.00	74.00	125.25	56.92
b3868	NC_000913.3	4053869	4055278	-	1410	306.63	134.48	257.07	251.98	342.91	279.90	400.63	357.07	338.95	385.58	501.44	521.17
b3869	NC_000913.3	4055290	4056339	-	1050	114.88	60.87	96.87	72.56	198.67	90.70	194.81	242.59	222.29	181.46	308.88	143.34
b3870	NC_000913.3	4056625	4058034	-	1410	1717.38	875.30	1156.39	810.36	2169.36	924.97	1471.53	2100.45	1359.65	1446.48	2960.49	1194.71
b3871	NC_000913.3	4058407	4060230	+	1824	6332.33	2945.03	4849.74	5412.65	4565.86	6071.36	6971.91	4787.78	6300.93	6431.21	6499.24	8361.67
b3872	NC_000913.3	4060447	4061157	+	711	11.04	14.70	16.95	36.92	23.41	33.27	18.11	25.56	22.32	18.42	34.16	45.66
b3873	NC_000913.3	4061165	4062145	+	981	22.95	12.74	16.53	19.01	31.99	24.06	23.82	30.91	25.84	34.26	42.61	27.58
b3874	NC_000913.3	4062247	4063512	+	1266	7.07	4.14	6.69	8.68	12.68	8.26	13.13	11.86	14.25	12.54	17.40	17.72
b3875	NC_000913.3	4063603	4064295	-	693	2.32	3.92	4.95	1.09	8.09	2.19	6.54	8.77	2.35	6.18	19.39	8.89
b3876	NC_000913.3	4064363	4065766	-	1404	22.41	2.54	15.23	10.88	20.45	12.31	15.11	33.23	17.11	15.81	31.46	23.54
b3877	NC_000913.3	4065809	4067194	-	1386	9.14	5.54	5.14	9.94	11.47	13.47	13.57	14.89	10.71	12.35	13.30	16.21
b3878	NC_000913.3	4067240	4069276	-	2037	22.21	11.87	27.10	11.36	20.35	16.58	24.20	15.66	16.55	18.54	25.01	34.56
b3879	NC_000913.3	4069475	4070401	-	927	14.50	8.01	13.09	13.26	27.88	16.15	32.00	20.42	13.80	33.84	42.00	22.99
b3880	NC_000913.3	4070515	4071756	-	1242	9.48	2.90	12.16	3.26	7.71	5.58	12.09	13.84	21.37	11.90	9.45	8.32
b3881	NC_000913.3	4071773	4072651	-	879	2.50	1.12	4.47	4.96	3.26	3.98	5.81	3.12	5.89	8.63	8.55	8.04
b3882	NC_000913.3	4072675	4073571	-	897	5.52	1.22	2.11	2.40	3.14	1.91	2.83	1.32	3.18	3.56	7.42	3.60
b3883	NC_000913.3	4073739	4074635	+	897	4.14	4.26	8.47	4.43	7.17	5.40	11.45	5.83	12.23	10.46	10.59	11.58
b3884	NC_000913.3	4074669	4075454	+	786	66.04	42.98	53.58	59.00	97.82	68.39	144.11	103.69	125.35	158.12	160.63	116.79
b3885	NC_000913.3	4075553	4076152	+	600	80.21	28.76	54.82	65.69	65.53	68.05	80.31	65.48	64.74	82.85	96.67	72.34
b3886	NC_000913.3	4076146	4077018	+	873	94.43	56.89	79.81	89.74	95.89	102.63	77.53	120.25	113.28	101.95	143.42	177.90
b3887	NC_000913.3	4077015	4077452	+	438	96.09	55.44	91.45	105.51	83.87	105.65	73.99	89.31	70.79	98.55	112.20	169.79
b3888	NC_000913.3	4077449	4078438	+	990	215.42	100.79	182	245.53	157.63	320.47	137.10	186.79	182.73	185.14	267.72	389.80
b3889	NC_000913.3	4079291	4079509	+	219	1.65	2.10	1.17	1.04	1.94	1.93	3.37	3.77	3.10	2.13	3.91	2.68
b3890	NC_000913.3	4079751	4079969	+	219	11	2.50	2.55	3.40	9.67	7.00	6.33	7.76	7.34	15.28	19.20	6.33
b3891	NC_000913.3	4080299	4081228	-	930	1450.34	761.30	1085.97	1280.37	1006.62	1177.93	1149.11	951.18	1161.00	1294.97	1588.20	1840.76
b3892	NC_000913.3	4081225	4081860	-	636	504.78	265.98	391.79	660.11	439.52	629.60	785.48	449.55	646.78	758.69	703.92	928.95
b3893	NC_000913.3	4081857	4082759	-	903	1147.80	523.29	837.93	1297.60	912.91	1422.26	1401.45	976.31	1410.85	1521.33	1330.01	1858.35
b3894	NC_000913.3	4082772	4085822	-	3051	2944.76	1390.27	1979.51	3781.77	2761.35	3830.53	5096.63	2794.41	4862.07	5022.32	4274.27	5700.24
b3895	NC_000913.3	4086016	4086849	+	834	72.82	39.17	49.68	98.25	92.69	115.37	133.24	104.81	147.36	143.24	128.67	127.43
b3896	NC_000913.3	4087002	4088057	+	1056	10.07	9.18	8.88	21.61	20.57	16.57	31.20	17.93	28.48	24.41	38.16	23.69
b3897	NC_000913.3	4088107	4089855	-	1749	19.81	10.58	18.56	11.12	25.43	10.20	30.47	23.33	40.96	25.35	32.87	14.08
b3898	NC_000913.3	4089855	4090925	-	1071	11.23	5.67	8.77	2.83	13.65	5.06	14.15	20.63	16.19	12.87	22.98	14.06
b3899	NC_000913.3	4090915	4092366	-	1452	17.85	5.22	4.46	10.35	8.20	7.72	7.88	3.86	10.37	7.01	13.02	13.77
b3900	NC_000913.3	4092377	4092823	-	447	0.78	0.12	0.25	0.78	1.58	0.17	0.50	3.52	1.49	1.03	3.64	2.17
b3901	NC_000913.3	4093124	4093438	-	315	5.75	0.60	1.75	0.25	3.60	4.83	4.81	2.40	3.50	4.33	5	2.56
b3902	NC_000913.3	4093448	4094272	-	825	3.14	5.11	1.87	2.50	4.63	2.48	7.17	6.38	5.04	5.60	7.17	5.36
b3903	NC_000913.3	4094723	4095982	-	1260	6.50	3.06	3.13	1.79	10.95	5.82	8.60	7.65	7.36	9.35	6.20	6.73
b3904	NC_000913.3	4095979	4097448	-	1470	4.04	2.65	3.71	2.80	6.33	4.85	4.99	5.26	7.23	7.04	6.70	6.31
b3905	NC_000913.3	4097736	4098572	+	837	8.04	4.24	2.00	6.93	7.10	4.74	11.77	14.35	6.70	6.91	13.89	6.02
b3906	NC_000913.3	4098646	4099494	+	849	13.56	6.24	8.32	10.65	7.62	12.96	11.00	7.86	5.99	9.50	20.60	15.55
b3907	NC_000913.3	4099491	4100525	-	1035	4.40	4.65	4.08	7.81	15.18	6.34	15.98	6.62	19.32	6.61	15.62	10.88
b3908	NC_000913.3	4100810	4101430	+	621	4712.95	2334.69	3249.44	1382.30	1455.75	1428.39	961.05	1588.42	961.67	1038.86	2414.67	1969.66
b3909	NC_000913.3	4101690	4102673	+	984	44.23	24.73	40.96	28.44	14.95	27.34	16.04	18.53	11.79	20.20	32.47	52.84
b3910	NC_000913.3	4102822	4103496	+	675	33.65	12.57	23.18	51.92	22.65	65.14	40.84	19.68	42.57	38.89	31.01	73.16
b3911	NC_000913.3	4103602	4104975	-	1374	185.04	103.08	163.28	212.75	241.18	212.42	317.08	233.29	329.91	330.95	378.98	300.64
b3912	NC_000913.3	4104972	4105670	-	699	143.75	76.50	106.14	162.34	215.81	202.17	289.16	202.73	329.60	252.30	339.35	261.82
b4484	NC_000913.3	4105820	4106320	+	501	242.17	175.18	251.75	546.54	520.76	501.31	485.73	424.91	422.42	364.42	507.71	862.81
b4716	NC_000913.3	4106330	4106387	+	58	325.33	88.14	243.10	155.75	305.08	245.10	318.65	283.87	312.23	373.01	584.65	214.07
b3915	NC_000913.3	4106469	4107371	+	903	149.57	89.98	142.88	246.52	223.09	290.95	358.25	239.78	335.90	431.77	298.94	364.46
b3916	NC_000913.3	4107552	4108514	+	963	582.56	294.02	470.39	568.13	494.79	561.62	870.45	487.81	738.63	728.00	738.55	866.82
b3917	NC_000913.3	4108834	4109823	+	990	44.40	17.21	28.58	29.44	41.56	34.07	56.00	32.70	67.96	65.79	50.34	38.29
b3918	NC_000913.3	4109930	4110685	+	756	24.53	6.97	15.78	14.27	31.74	23.57	51.07	36.82	56.97	65.98	57.94	41.90
b3919	NC_000913.3	4110740	4111507	-	768	2623.01	1016.53	1874.87	1113.47	1869.74	1287.27	1728.92	1795.33	1573.85	1707.12	2864.32	1697.98
b3920	NC_000913.3	4111615	4112214	-	600	69.83	32.94	51.81	38.43	114.87	45.90	90.44	108.49	77.78	96.27	167.25	57.78
b3921	NC_000913.3	4112315	4112755	+	441	20.58	8.67	23.18	19.58	29.94	17.26	13.66	32.83	24.17	21.04	41.87	22.87
b3922	NC_000913.3	4112967	4113266	+	300	18.20	10.25	12.87	15.37	40.56	10.90	41.03	56.25	36.00	41.65	59.67	22.31
b3923	NC_000913.3	4113293	4113721	+	429	25.31	12.25	18.93	8.45	75.73	16.92	62.91	70.01	32.92	47.80	89.56	24.04
b3924	NC_000913.3	4113726	4114472	-	747	74.12	55.64	74.36	54.30	83.66	68.48	103.59	74.10	72.47	98.43	121.38	116.19
b3925	NC_000913.3	4114569	4115579	-	1011	81.66	40.19	77.96	132.52	94.29	148.96	222.12	110.04	185.29	203.96	171.16	248.73
b3926	NC_000913.3	4115714	4117222	-	1509	266.46	108.40	218.52	903.40	303.46	945.76	531.60	306.58	539.60	551.22	411.19	1286.85
b3927	NC_000913.3	4117245	4118090	-	846	42.95	26.25	48.20	248.71	65.71	254.85	110.98	64.58	246.07	119.65	105.46	415.40
b3928	NC_000913.3	4118515	4118760	+	246	1310.95	755.06	1082.70	923.61	1203.46	864.45	1226.87	1228.45	1161.81	1253.31	1877.73	1009.27
b3929	NC_000913.3	4118845	4119330	-	486	283.95	154.11	294.21	301.42	358.69	380.92	470.87	467.33	423.97	491.28	556.89	522.94
b3930	NC_000913.3	4119423	4120349	-	927	64.01	40.32	26.19	72.58	82.77	67.86	183.50	75.12	169.92	167.60	135.73	120.77
